0.032      170      1.5      -16.0   SMC   00h51m00.0s -73d06m00s
0.034      290      0.5      -17.2   LMC   05h24m00.0s -69d48m00s
0.214     -130      9.0      -12.7  6822   19h42m06.4s -14d55m23s
0.263      -70      7.0      -15.1   598   01h31m01.7s +30d24m15s  
0.275     -185      8.8      -13.4   221   00h39m57.8s +40d35m26s  
0.275     -220      5.0      -17.2   224   00h40m00.1s +40d59m43s  
0.45       200      9.9      -13.3  5457   14h01m26.3s +54d35m18s  
0.5        290      8.4      -15.1  4736   12h48m31.9s +41d23m32s  
0.5        270      7.4      -16.1  5194   13h27m46.0s +47d27m22s  
0.63       200      9.5      -14.5  4449   12h25m45.9s +44d22m16s
0.8        300     11.3      -13.2  4214   12h13m08.0s +36d36m22s
0.9        -30      8.3      -16.4  3031   09h51m27.3s +69d18m08s  
0.9        650      9.1      -15.7  3627   11h17m38.4s +13d15m47s  
0.9        150      9.0      -15.7  4826   12h54m16.9s +21d57m18s  
0.9        500     10.4      -14.4  5236   13h34m11.5s -29d36m42s  
1.0        920      9.1      -15.9  1068   02h40m07.1s -00d13m31s  
1.1        450      9.6      -15.6  5055   13h13m34.9s +42d17m34s  
1.1        500     10.4      -14.8  7331   22h34m46.6s +34d09m21s
1.4        500      8.7      -17.0  4258   12h16m29.4s +47d34m53s  
1.7        960     12.0      -14.2  4151   12h08m01.0s +39d41m02s
2.0        500     10.0      -16.5  4382   12h22m53.2s +18d28m03s  
2.0        850      8.8      -17.7  4472   12h27m13.9s +08d16m22s  
2.0        800      9.7      -16.8  4486   12h28m17.6s +12d40m02s  
2.0       1090      9.5      -17.0  4649   12h41m08.4s +11d49m35s  
