1992bo 3.734 34.59 0.07 0.51 0.00 0.00 01h19m40.2s -34d28m24s 
1992bc 3.779 34.75 0.05 -0.23 0.00 0.00 03h03m22.2s -39d45m10s 
1992K 3.521 33.53 0.15 1.25 0.01 0.23 13h07m10.0s -46d10m26s 
1992aq 4.481 38.27 0.06 0.35 0.00 0.00 23h01m49.0s -37d36m55s 
1992ae 4.350 37.79 0.09 -0.05 0.00 0.04 21h24m27.2s -61d46m07s 
1992P 3.896 35.50 0.08 -0.20 0.11 0.00 12h40m17.4s +10d38m02s 
1992J 4.140 36.75 0.14 0.35 0.18 0.15 10h06m42.0s -26d23m47s 
1991U 3.991 35.70 0.17 -0.41 0.75 0.20 13h20m36.9s -25d50m54s 
1991ag 3.613 34.15 0.08 -0.27 0.01 0.13 19h56m10.4s -55d30m17s 
1990af 4.178 36.84 0.06 0.27 0.00 0.05 21h31m07.7s -62d57m37s 
1992G 3.299 32.22 0.11 0.02 0.45 0.04 10h33m26.2s +37d34m50s 
1991m 3.389 32.96 0.10 0.73 0.00 0.01 15h56m19.2s +17d35m59s 
1993ae 3.709 34.52 0.11 0.38 0.00 0.10 01h27m16.1s -02d14m06s 
1994M 3.859 35.32 0.09 0.21 0.00 0.00 12h28m34.9s +00d52m53s 
1994S 3.685 34.24 0.05 -0.13 0.00 0.00 12h28m53.0s +29d24m37s 
1994T 4.030 36.16 0.10 0.33 0.00 0.00 13h18m56.1s -01d53m15s 
1994Q 3.938 35.86 0.13 -0.28 0.25 0.05 16h48m11.6s +40d31m01s 
1993ac 4.170 36.93 0.22 0.34 0.20 0.45 05h41m30.0s +63d20m00s 
1995D 3.398 32.76 0.06 -0.28 0.21 0.00 09h38m17.5s +05d22m06s 
1995E 3.547 33.76 0.06 -0.17 1.86 0.00 07h46m07.9s +73d08m14s
